net,length_um
_0962_,22.02
_1329_,22
_3129_,21.98
_1149_,21.96
_0574_,21.95
_2339_,21.92
_3662_,21.9
_0660_,21.88
_1610_,21.84
_2757_,21.84
_0556_,21.8
_1251_,21.8
_2387_,21.78
_2049_,21.7
_2764_,21.7
_0910_,21.69
_0207_,21.68
_2621_,21.66
_3084_,21.66
_1432_,21.62
_2700_,21.62
_1996_,21.6
_1160_,21.58
_1490_,21.58
_1030_,21.55
_0623_,21.5
_0649_,21.5
_2466_,21.5
_1463_,21.46
_2396_,21.46
_1058_,21.4
_1219_,21.4
_0012_,21.38
_2701_,21.38
_2958_,21.38
_2855_,21.36
_0416_,21.34
_3557_,21.32
_0731_,21.3
_1858_,21.3
_3379_,21.28
_0607_,21.26
_2039_,21.24
_3558_,21.185
_0887_,21.18
_0995_,21.16
net115,21.16
_0165_,21.14
_3321_,21.14
_1649_,21.12
_2426_,21.12
_3479_,21.1
_1533_,21.08
_1991_,21.08
_2785_,21.08
_1175_,21.06
_2199_,21.06
_1311_,21.04
_1437_,21.04
_3468_,21.04
_3429_,21.02
_0487_,21
_1305_,21
_1921_,21
_3462_,21
_0520_,20.96
_3588_,20.96
_1478_,20.94
_3686_,20.925
_2014_,20.9
_3011_,20.9
_0353_,20.86
_0618_,20.84
_1805_,20.84
_1869_,20.84
_3690_,20.8
_3670_,20.765
_1205_,20.74
_0648_,20.7
_0072_,20.69
_0263_,20.62
_1590_,20.6
_1899_,20.6
_1265_,20.58
_0921_,20.56
_1442_,20.56
_2547_,20.56
_0455_,20.54
_1613_,20.54
_2922_,20.54
_3612_,20.5
_2599_,20.48
_2340_,20.44
_2053_,20.38
_0376_,20.37
_0725_,20.36
_0877_,20.36
_2147_,20.36
_1156_,20.34
_3466_,20.34
_1565_,20.32
_2687_,20.32
_3172_,20.28
_1929_,20.26
_0729_,20.24
_2549_,20.24
_2795_,20.24
_1174_,20.22
_1700_,20.2
_2343_,20.2
_1327_,20.16
_1813_,20.16
_0425_,20.14
_0909_,20.12
_0035_,20.11
_3291_,20.09
_3152_,20.08
_3703_,20.08
_1731_,20.06
_3359_,20.06
_3481_,20.04
_3221_,20.025
_2826_,20
_0237_,19.98
_3255_,19.925
